Artist,Tracks,Hours,Genres
Wilderun,47,6.20,massachusetts|folk metal|melodic death metal|usa|united states|american|folklore|introspective|lush|melodic|folky|epic|clean vocals|harsh vocals|extreme progressive metal|progressive folk metal|symphonic folk metal|metal|atmospheric|extreme prog|symphonic metal|progressive metal
Obsidious,47,4.10,death metal|progressive death metal|technical death metal|progressive metal
Twin Shadow,47,0.60,chillwave|synthpop|new wave
Cognizance,47,2.70,melodic death metal|metal|death metal|technical death metal
Eidola,47,2.30,swancore|alternative hardcore
Calvin Harris,47,0.10,electronic|pop|dance|house|synth-pop|electropop|disco|dance-pop|progressive house|uk garage|club|hip house|electro house|edm|dance and electronica|funktronica|nu disco|nu-disco|uk hip hop|contemporary r&b|2010s|melodic techno|complextro|electro-disco|ibiza trance|melodic house|festival progressive house|late 2000s
John Legend,47,2.00,american|usa|soul|américain|neo soul|soul and reggae|r&b|contemporary r&b
Suffocation,46,3.40,metal|american|death metal|technical death metal|brutal death metal|technical brutal death metal
Unsolicited,46,1.10,Unknown
Trinix,46,0.00,Unknown
Alan Parsons,46,0.20,1990s|art rock|symphonic rock|british|english|1980s|uk|album rock|prog-rock|contemporary pop/rock|soft rock|rock|progressive rock
Cage the Elephant,46,0.00,pop|alternative rock|punk rock|post-punk|indie rock|alternative|psychedelic rock|blues rock|acoustic rock|garage rock revival|post-punk revival|garage rock|neo-psychedelia|punk blues|american trad rock
Khruangbin,45,0.00,alternative rock|instrumental|blues|indie rock|funk|dub|indie|psychedelic rock|neo-psychedelia|surf|psych|psychedelic soul|exotic
Billie Eilish,45,0.30,electronic|downtempo|pop|singer-songwriter|usa|electronica|electropop|lo-fi|indie pop|leftfield|pop rock|alternative pop|english|indietronica|los angeles|queer|teen pop|pop soul|alt-pop|progressive pop|dark pop|contemporary r&b|2010s|art pop|alternative r&b|trap|bedroom pop|pity pop|englisch|2020s|sad girl pop|gen z|late 2010s|nepo baby
Billy Strings,45,2.10,bluegrass|jam band|progressive bluegrass
Post Malone,45,0.50,hip hop|country|pop rap|english|r&b|contemporary r&b|2010s|alternative r&b|trap|cloud rap|2020s
Vulkan,45,3.30,progressive rock
Up First,45,0.70,Unknown
Tycho,45,0.10,electronic|downtempo|instrumental|chillout|ambient|idm|psychedelic|chillwave|post.rock|vaporwave|intelligent dance|electrogaze
Maladie,45,4.10,progressive/avant-garde/black-metal|progressive metal|personal experiences|existence|philosophy|avant-garde metal|black metal
Mord Fustang,45,0.00,electronic|electro house|edm|complextro
Cut Chemist,45,0.00,hip hop|turntablism|trip hop|underground hip hop|left-field rap
Ichika Nito,44,0.90,Unknown
Steve Vai,44,0.50,rock|heavy metal|instrumental|progressive metal|metal|american|experimental|guitar|hard rock|instrumental rock|avant-garde metal|archives|prog related
Howard Shore,44,0.00,soundtrack|classical|orchestral|canadian|score|film score|contemporary classical|film soundtrack|easy listening soundtracks and musicals|film composer|howard|shore|lord of the rings|academy award winner|orchestral soundtrack|cinematic classical|middle earth|scorecore|canadian soundtrack|canadian classical
Devin Townsend,44,2.70,progressive rock|ambient|industrial metal|progressive metal|metal|death metal|progressive|post-metal|post metal|life
Ne Obliviscaris,43,6.50,death|extreme prog|technical|introspective|melancholic|australian|ethereal|battles|grief|mythological stories|melodic|opeth|extreme progressive metal|melodic death metal|life|modern|australia|english|melodic black metal|progressive metal
LCD Soundsystem,43,0.00,electronic|american|new wave|usa|synth-pop|américain|post-punk revival|alternative dance|dance-punk|indietronica|dance and electronica|indie electronic|christmas music|synth punk|mutant disco|london sessions
Four Tet,43,0.00,electronic|downtempo|post-rock|dubstep|dance|british|idm|uk|indie rock|techno|electronica|english|trip hop|club|indietronica|rock and indie|folktronica|microhouse|post-dubstep
Subterranean Lava Dragon,43,4.80,progressive metal|death metal|progressive death metal
Carnosus,42,2.80,swedish|melodic death metal|death metal|sweden|technical death metal|english|gothenburg metal|energetic|aggressive|rhythmic
Nujabes,42,1.80,instrumental|hip hop|jazz fusion|acid jazz|japan|alternative hip hop|boom bap|jazz rap|instrumental hip hop|_edit|death by car crash
Ophidian I,42,2.80,death metal|technical death metal|technical brutal death metal|metal
Janelle Monáe,42,0.00,pop|rap|singer-songwriter|funk|soul|pop rap|queer|pop soul|r&b|contemporary r&b|mbs-333|art pop|synth funk|alternative r&b
Dessiderium,42,5.60,progressive metal|melodic death metal|progressive death metal
Jidenna,42,0.00,pop|hip hop|r&b
French 79,42,0.00,electronic|pop|french|house|synth-pop|electronic music|french touch|french house|marseille
Xoth,41,3.40,melodic death metal|thrash metal|death metal|black metal|technical death metal|blackened death metal|extreme progressive metal|technical thrash metal|blackened thrash metal
Economist Podcasts,41,9.20,Unknown
Telefon Tel Aviv,41,0.00,dance and electronica
clipping.,40,1.00,electronic|rap|hip-hop|hip hop|horrorcore|harsh noise|experimental hip hop|abstract hip hop|industrial hip hop|hip-hop/rap|hardcore hip hop|noise rap|poggers
Zeal & Ardor,40,2.00,melodic death metal|progressive metal|metal|blues|swiss|black metal|experimental|seen live|avant-garde metal|negro spiritual
Parius,40,3.70,progressive metal|death metal|metal|progressive death metal|technical death metal|melodic death metal
Dvne,40,4.60,stoner metal|rock|progressive metal|stoner|progressive rock|metal|postmetal|progressive|post-metal|sludge|sludge metal
Richard Henshall,40,1.40,alternative rock|progressive rock|jazz|progressive metal|metal|prog|guitar solo
Pegboard Nerds,40,0.10,electro house|edm|drumstep|dubstep|electronic|hardstyle|glitch hop|danish|norwegian|scandinavian|bass house|trap|nerds|pegboard
CHVRCHES,40,0.00,synthpop|sillyname|indie|synth-pop|indie pop|indietronica|nuno|indie synth pop
Hate Eternal,39,2.40,death metal
Anaal Nathrakh,39,1.30,industrial metal|metal|death metal|black metal|grindcore
Ubiquity,39,5.10,Unknown
Bonobo,39,0.00,rock|electronic|downtempo|pop|jazz|dance|house|british|idm|electro|uk|deep house|techno|electronica|breakbeat|disco|downbeat|breaks|world music|acid jazz|uk garage|english|trip hop|nu jazz|club|ninja tune|future jazz|edm|bassline|ambient breakbeat|jazz-house|melodic techno|melodic house|organic house
Greta Van Fleet,39,0.00,rock|hard rock|blues rock|estados unidos
The Smashing Pumpkins,39,0.00,rock|electronic|alternative rock|progressive rock|industrial rock|shoegaze|ambient|90s|american|grunge|hard rock|usa|indie rock|alternative|synth-pop|psychedelic rock|américain|art rock|alternative metal|symphonic rock|neo-psychedelia|dream pop|rock and indie|united states|permanent wave|spacegrunge
Kevin Morby,39,0.00,singer-songwriter|indie folk|folk rock
Pink Floyd,39,0.70,rock|progressive rock|70s|80s|90s|british|uk|band|60s|hard rock|britannique|progressive|psychedelic rock|psychedelic|blues rock|art rock|classic rock|album rock|psychedelic pop|experimental rock|pop rock|space rock|symphonic rock|avant-garde|acid rock|english|rock opera|film soundtrack|classic pop and rock|roger waters|proto-prog|rolling stones|defacing|dad rock|server name|favoritos|reino unido
The Faceless,38,2.00,progressive metal|death metal|technical death metal|progressive death metal|deathcore|progressive deathcore
Spiritbox,38,2.40,progressive metalcore|progressive metal|djent|metalcore
Huntsmen,38,3.70,doom metal|post-metal
The Prodigy,38,0.00,rock|electronic|alternative rock|industrial|drum and bass|hardcore|big beat|rave|dance|british|2005|uk|britannique|techno|electronica|breakbeat|electropunk|english|dance-punk|dance and electronica|breakbeat hardcore|hardcore hip hop|hardcore breaks|live electronic
Ellie Goulding,38,0.00,synthpop|pop|drum and bass|dance|indie|synth-pop|electropop|indie pop|dance-pop|indie folk|dream pop|chamber pop|club|indietronica|edm|film soundtrack|contemporary r&b|a filk artist
Unknown Mortal Orchestra,38,0.80,indie rock|indie|alternative|lo-fi|psychedelic rock|psychedelic|psychedelic pop|garage rock
In Vain,38,4.40,melodic death metal
Venom Prison,38,2.70,hardcore|metal|death metal|death-metal / hardcore
Darren Korb,38,0.00,Unknown
Battles,38,0.00,electronic|post-rock|progressive rock|experimental|math rock|art rock|experimental rock|warp|rock and indie
Son Little,38,0.00,r&b|r&b/soul|blues|indie|indie rock
Calva Louise,37,2.20,alternative metal
Rolo Tomassi,37,3.00,post-metal|technical prog metal|sasscore|metal|mathcore|experimental|grindcore|noisecore|dance and electronica|post-hardcore|progressive rock|experimental rock
Ben's Raincoat,37,2.90,Unknown
The Mountain Goats,37,1.20,rock|american|singer-songwriter|indie rock|folk rock|indie|lo-fi|indie folk|4ad|rock and indie
You Win Again Gravity,37,2.60,Unknown
Car Bomb,37,2.10,metalcore|experimental|progressive|mathcore|djent
Hands of Despair,37,5.70,progressive metal|death metal|black metal|progressive death/black-metal
Entheos,36,2.50,death metal|progressive metal|black metal|progressive death metal|technical death metal
Taylor Swift,36,0.60,pop|singer-songwriter|country|synth-pop|electropop|americana|female vocals|indie pop|icon|2000s|dance-pop|indie folk|pop rock|country pop|alternative pop|folk pop|chamber pop|contemporary country|teen pop|top 40|country-pop|taylor-swift|re-recording|singer/songwriter|list|2010s|fixme label mess|hp|millennial|relic inn|2020s|loves planes|late 2000s|nuno|artist of the decade|cultural icon
Animal Collective,36,0.00,electronic|noise|experimental|indie rock|indie|psychedelic pop|noise pop|neo-psychedelia|avant-garde|psychedelic folk|rock and indie|new weird america|freak folk|avant-folk|avant-garde pop|poggers
Ulver,36,3.70,electronic|pop|norwegian|heavy metal|ambient|folk|industrial metal|progressive metal|black metal|experimental|hard rock|improvisation|synth-pop|art rock|folk metal|experimental rock|avant-garde metal|avant-garde|dark ambient|neofolk|trip hop|drone metal|scandinavian metal|atmospheric black metal|post black
MAB Music TTRPG,36,0.90,ttrpg
Béla Fleck & the Flecktones,36,1.40,progressive bluegrass|jazz and blues|folk|jazz
Jhené Aiko,36,0.00,r&b|trap|soul|neo soul|contemporary r&b
Rototypical,36,3.30,Unknown
Horror Of Pestilence,36,2.60,Unknown
Louis Armstrong,35,0.00,pop|jazz|american|easy listening|swing|gospel|vocal jazz|dixieland|classic pop and rock|traditional pop|sm|death by heart attack|aa0003000|2008 universal fire victim
Neko Case,35,0.80,rock|folk|american|singer-songwriter|indie rock|americana|alternative country|alternative country rock|adult alternative rock
Elephant Gym,35,2.10,instrumental|rock|jazz rock|math rock
Dire Straits,35,0.70,rock|british|uk|band|guitar|blues rock|country rock|classic rock|group|1980s|1990s|1970s|soft rock|pop rock|rock and roll|roots rock|pub rock|english|classic pop and rock|sophisti-pop|rock & roll|pop/rock|id_artist
Fleshbore,35,2.70,technical death metal
Bensley,35,0.10,electronic|drum and bass
Fakear,35,0.30,downtempo|abstract hip-hop|nu-jazz|wonky|ambient|electronic|indietronica|deep house
Chromeo,35,0.00,electronic|synthpop|canadian|canada|canadien|synth-pop|electropop|dance-pop|québec|québécois|quebec|dance and electronica|funktronica|nu disco|electro-funk|nu-disco|synth funk|electro-disco
Diablo Swing Orchestra,35,2.00,heavy metal|jazz|progressive metal|metal|sweden|symphonic metal|avant-garde metal|avant-garde|awesome|swingmetal|swing metal
Blind Guardian,35,1.90,german|progressive metal|metal|power metal|speed metal|alemanha
Katatonia,35,1.80,alternative rock|progressive rock|swedish|progressive metal|metal|death metal|gothic metal|doom metal|hard rock|alternative metal|gothic rock|death doom|death-doom metal|death doom metal|depressive rock|hårdrock|suécia
Chinese Man,34,0.00,hip hop
Alkaloid,34,4.10,heavy metal|progressive metal|metal|death metal|technical death metal|progressive death metal|technical metal|extreme metal
Wayfarer,34,2.80,nature|history|atmospheric black metal|wild west|folk metal|metal|black metal
Pharrell Williams,34,0.20,pop|hip hop|soul|pop rap|pop soul|contemporary r&b|producer tag - pharrell
Persefone,34,2.90,death metal|progressive death metal|progressive metal
HELGA,34,2.40,klamauk|comedy|german|kabarett|spoken word|jazz|musical comedy
TV on the Radio,34,0.00,electronic|shoegaze|indie rock|art rock|experimental rock|noise pop|4ad|rock and indie|indie electronic|psychedelic soul
SunSquabi,34,0.00,funk|future funk
less.people,34,0.00,lo-fi hip hop|hip hop|instrumental hip hop|chillwave|lo-fi|instrumental|boom bap|downtempo
Jason Richardson & Luke Holland,34,0.90,metalcore|progressive metal|math metal|progressive metalcore
Yvette Young,34,0.80,Unknown
Scale the Summit,34,0.20,progressive|progressive metal|metal|instrumental|math rock|experimental|instrumental rock
Imperial Triumphant,34,3.00,dissonant death metal|black metal|technical death metal|death metal|progressive black metal|avant-garde black metal|technical black metal|dissonant black metal|progressive metal|metal|avant-garde metal
All Shall Perish,33,2.30,death metal|metal|melodic death metal|metalcore|american|deathcore
Augury,33,3.10,technical death metal|progressive death metal
Jordan Rudess,33,1.00,progressive rock|instrumental|progressive metal|metal|progressive|crossover prog
Chet Faker,33,0.00,downtempo|electronica|soul|trip hop
Moontricks,33,1.20,Unknown
Toro y Moi,33,0.00,electronic|synthpop|pop|drum and bass|dance|house|electro|hip hop|funk|deep house|electronica|alternative|breakbeat|synth-pop|disco|breaks|indie pop|neo-psychedelia|alternative dance|indie dance|edm|indie electronic|hypnagogic pop|chillwave|r&b|alternative/indie rock|alternative singer/songwriter|alternative r&b|trap|future bass
ROSALÍA,33,0.00,pop|singer-songwriter|hip hop|spanish|flamenco|latin pop|latin|english|reggaeton|flamenco pop
Retromorphosis,33,2.70,death metal|technical death metal
Poppy,33,1.50,pop|ambient|industrial metal|metal|metalcore|nu metal|electropop|dance-pop|alternative metal|post-metal|indietronica|pop metal|2010s|art pop|bubblegum pop|millennial|2020s|post-genre|creepy pop
vianova,32,2.20,progressive metal|metalcore|djent
Psychonaut,32,2.40,Unknown
This Town Needs Guns,32,2.00,rock|math rock|uk|indie rock|emo|indie|oxford|crossover prog|midwest emo
Boards of Canada,32,0.00,electronic|downtempo|ambient|scottish|british|idm|uk|britannique|duo|electronica|hauntology|psychedelic|ambient techno|trip hop|warp|indietronica|dance and electronica|folktronica|the lost generation
Panzerballett,32,4.30,jazz rock|fusion|jazz|progressive rock|funk|jazz fusion|jazz metal|progressive metal
Dr. Dog,32,0.00,rock|indie rock|psychedelic rock|psychedelic|baroque pop|indie folk|neo-psychedelia|low fidelity
Leon Bridges,32,0.00,soul|neo soul|smooth soul|r&b
Eschaton,31,2.20,Unknown
Squarepusher,31,0.00,electronic|drum and bass|british|idm|uk|electronica|glitch|abstract|jazz fusion|trip hop|nu jazz|warp|drill and bass|dance and electronica|braindance|experimental electronic|jazztronica|rephlex|jazzstep
Ashen Horde,31,2.60,progressive black metal|progressive metal|black metal
Fleshgod Apocalypse,31,2.00,awesome name|symphonic death metal|technical brutal death metal|death metal|technical death metal|brutal death metal|symphonic metal|awesomename
Adele,31,0.10,pop|jazz|singer|soul|adult contemporary|blue-eyed soul|neo soul|pop and chart|pop soul|blue eyed soul|r&b|adele|alternative/indie rock|adult alternative pop/rock|2010s|blues-pop|english singer|music for soccer moms|aln-sh
An Abstract Illusion,31,4.40,melodic death metal|progressive metal|death metal|technical death metal|atmospheric/progressive death metal
Decrepit Birth,31,2.30,metal|death metal|technical death metal|brutal death metal
Kalaido,31,0.00,lo-fi hip hop|chillwave|instrumental|boom bap|instrumental hip hop|hip hop|lo-fi|downtempo
The Dear Hunter,31,2.20,crossover prog|progressive|rock|experimental|indie|alternative|alternative rock|progressive rock|indie rock
Hippotraktor,31,3.30,Unknown
Neosignal,31,1.10,Unknown
Lee McKinney,31,0.10,Unknown
Ill-Esha,31,0.00,Unknown
Brasstracks,31,0.30,Unknown
Beastie Boys,30,0.00,rock|alternative rock|rap|punk|american|hip-hop|electro|hip hop|usa|funk|hiphop|hardcore punk|américain|alternative hip-hop|ny|rap rock|us|rock and indie|alternative hip hop|experimental hip hop|prank calls|east coast hip hop|hardcore hip hop|new york hardcore|old school hip hop|golden age hip hop|mid-school hip hop|alliteration
Aloe Blacc,30,1.00,soul|neo soul|hip hop|r&b|pop soul|2010s|american|américain|usa|neo-soul|contemporary r&b
Agent Fresco,30,1.70,progressive rock|math rock|rock|alternative rock|art rock|indie rock|progressive metal
Nuclear Power Trio,30,0.20,Unknown
Liquid Tension Experiment,30,0.10,progressive metal|jazz fusion|american|instrumental|new york|jazzy|metal fusion|virtuoso|eclectic|progressive|progressive rock|usa|united states|technical|improvisation|fusion|instrumental rock|metal
David Maxim Micic,30,1.80,metal|djent|ambient|electronic|progressive metal|experimental|fusion|progressive rock
The SteelDrivers,30,0.00,bluegrass|americana
Aretha Franklin,30,1.50,rock|pop|jazz|american|soul|rnb|gospel|quiet storm|southern soul|deep soul|soul and reggae|pop soul|smooth soul|r&b|rhythm & blues|the queen of soul|server name|2008 universal fire victim|aln-sh
Burial,30,0.40,electronic|dubstep|ambient|british|uk|london|britannique|dub|producer|uk garage|english|moody|dance and electronica|2-step|2 step|future garage|james blake|summer vibes
Wormhole,30,1.70,Unknown
Passion Pit,30,0.00,indietronica
Johnny Cash,30,0.70,rock|folk|american|blues|singer-songwriter|rockabilly|country|americana|classic rock|spoken word|contemporary folk|gospel|country pop|rock and roll|outlaw country|traditional folk|composers|traditional country|favorite|classic country|singers|country music|guitarists|death by diabetes|country gospel|little|cowboy|osteraker|johnny cash rock island|lyricists|arkansas country|harmonica players
Thy Catafalque,30,2.30,post-metal|progressive metal|folk metal|symphonic black metal|avant-garde metal|metal|black metal|avant-garde
Orphaned Land,30,2.70,melodic death metal|progressive metal|metal|hebrew|arabic|death metal|clean vocals|doom metal|melodic|symphonic metal|folk metal|english|post-metal|death doom|oriental metal|israel|middle east|israeli|unity|death-doom metal|jewish|extreme progressive metal|death doom metal|microtonal|religion|peace|melodic death doom|middle eastern|introspective|middle eastern music|oriental rock|harsh vocals|progressive folk metal|mizrahi music|extreme prog|melodic death-doom metal
Sunbeam Sound Machine,29,0.00,Unknown
Azure,29,3.00,industrial|noise|electroacoustic|drone|field recording
toe,29,1.90,_private tag 1|math rock|j-rock|post-rock
Michael Jackson,29,0.00,rock|pop|american|blues|hip hop|singer|usa|funk|soul|disco|rnb|composer|américain|lyricist|dance-pop|pop rock|pop rap|boogie|rhythm and blues|new jack swing|folk pop|parolier|chanteur|compositeur|motown|classic pop and rock|cool|united states|pop soul|michael-jackson|contemporary rnb|post-disco|r&b|contemporary r&b|death by drug overdose|cultural icon
Kyros,29,2.20,Unknown
Big Gigantic,29,0.10,dance|electronic
Death From Above 1979,29,0.00,noise rock|rock|punk|indie rock|canadian|disco-punk|rock n roll|dance-punk|electronic
Ennio Morricone,29,0.00,rock|soundtrack|classical|pop|jazz|orchestral|italian|soundtrack composer|score|composer|lounge|avant-garde|film score|european|film soundtrack|easy listening soundtracks and musicals|film composer|soundtracks|modern classical|library music|spaghetti western|gui la testa|television music|television composer|orchestral soundtrack|cinematic classical|the scarlet and the black|72 meters|italian soundtrack|2008 universal fire victim|absolute music|classic soundtrack|vintage italian soundtrack
Nicki Minaj,29,0.20,electronic|pop|rap|hip-hop|hip hop|pop rap|r&b|2010s|east coast hip hop|a filk artist|relic inn|queen of rap|cousin in trinidad wont get the vaccine|late 2000s
Gordon Goodwin’s Big Phat Band,28,0.80,jazz
Ichika,28,0.20,Unknown
Take/Five,28,0.00,Unknown
Ed Rush,28,0.10,electronic|drum and bass|techstep
Jake Bowen,28,2.30,Unknown
Hiromi,28,1.70,kayōkyoku|j-pop|idol kayō|fixme label mess
STS9,28,0.40,sts9
Plaid,28,0.60,english|abstract|electronica|techno|breakbeat|uk|warp|electronic|anime|british|dance and electronica|idm
Porcupine Tree,28,3.60,rock|alternative rock|progressive rock|ambient|folk|progressive metal|metal|british|uk|alternative|psychedelic rock|acoustic rock|space rock|new prog|english|heavy prog|classic pop and rock|todo
Shawn James,28,0.00,Unknown
Olly Steele,28,0.30,Unknown
Iotunn,28,3.50,melodic death metal|progressive metal|death metal|power metal|progressive death metal
Mild High Club,28,0.00,psychedelic pop|neo-psychedelia|jazz pop|hypnagogic pop|psychedelic|dream pop|bedroom pop|jazz-rock|jazz fusion|indie pop|indie garage rock|neo-psychedelic
Exuvial,28,2.70,Unknown
Cosmoveillance,28,2.00,Unknown
Nosaj Thing,28,0.00,electronic|downtempo|pop|ambient|dance|house|experimental|idm|electro|hip hop|deep house|techno|electronica|psychedelic|leftfield|trip hop|indietronica|edm|glitch hop|wonky|left-field house|intelligent dance music|future garage|chillwave|ambient pop|trap|melodic techno|future bass|melodic house|organic house|left-field rap
Mors Principium Est,28,2.30,melodic death metal|death metal|technical death metal
Magnavolt,27,0.60,synthwave
Mario Camarena,27,0.20,Unknown
Arsis,27,1.80,american|death metal|technical|technical death metal|melodic death metal|metal
DROELOE,27,0.00,edm|future house|future bass|future trap|trap
Burbank,27,0.00,lo-fi hip hop
Kardashev,27,2.30,progressive metal|progressive death metal|deathcore|progressive deathcore|deathgaze
The Alan Parsons Project,27,0.60,rock|electronic|progressive rock|80s|british|uk|art rock|classic rock|album rock|soft rock|pop rock|crossover prog|progressive electronic|classic pop and rock|progressive pop|pop/rock|contemporary pop/rock|prog-rock|automod ng|scouts de nanterre 1982-1985
Phace,27,0.00,electronic|drum and bass|german
Unfathomable Ruination,27,2.20,death metal|deathcore|extreme metal|metal|technical death metal|brutal death metal|uk death metal|brutal technical death metal
Chance the Rapper,27,0.30,hip hop|rap|english|alternative hip hop|r&b|conscious hip hop|chicago rap|trap|jazz rap|abstract hip hop|hip-hop|experimental|pop rap|nuno
Eluveitie,26,1.50,melodic death metal|metal|swiss|folk metal|celtic metal|gaulish lyrics|celtic folk music|medieval metal|melodic/death/folk-metal|suiça
Blockhead,26,0.00,trip hop|turntablism|electronic|instrumental hip hop|american|trip-hop|electronica|instrumental hip-hop|hip hop|hip-hop
Horror of Pestilence,26,1.70,Unknown
Sleepdealer & Nohidea,26,0.00,instrumental hip hop|lo-fi hip hop|chillwave|downtempo|instrumental|boom bap|lo-fi|hip hop
The Upbeats,26,0.00,electronic|drum and bass
Delta Heavy,26,0.00,electronic|drum and bass|jungle
Buried Realm,26,2.00,melodic death metal
Marvin Gaye,26,0.00,pop|american|funk|soul|rnb|sexual|motown|soul and reggae|pop soul|smooth soul|the very best of|death by murder|death by gun|multiple ipi|contemporary r&b|rhythm & blues|progressive soul
Mimosa,26,0.00,electronic|dubstep
Nospūn,26,2.80,progressive metal|metal|djent
Eminem,26,0.00,turkish|90s|rap|american|hip-hop|actor|hip hop|songwriter|singer|detroit|hiphop|2000s|midwest hip-hop|detroit hip-hop|gangsta rap|pop rap|record producer|english|horrorcore|rapper|us|pop and chart|eminem|8 mile|boom bap|v|comedy rap|midwest hip hop|conscious hip hop|hardcore hip hop|trap|kun|detroit hip hop|relic inn|2008 universal fire victim|rap god|midwestern hip-hop|music trade
Madisen Ward and the Mama Bear,26,0.00,madisen|ward|mama|bear|kansas|alternative|soul|folk
Cloudkicker,26,0.20,post-rock|instrumental|progressive metal|metal|experimental|post-metal
Toehider,26,3.70,progressive rock|progressive metal|pop|synthwave|metal
ZZ Top,26,0.00,rock|stoner rock|american|blues|new wave|hard rock|blues rock|southern rock|classic rock|album rock|texas blues|boogie rock|texas|classic pop and rock|920.023
The xx,26,0.00,pop|alternative rock|british|uk|britannique|alternative|indie pop|dream pop|alternative pop|alternative dance|english|indietronica|indie electronic|alternative/indie rock|alternative r&b
Truent,26,1.80,death metal|progressive death metal|groove metal|technical death metal|metal
Tedeschi Trucks Band,25,2.20,rock|blues|soul|blues rock|blue-eyed soul
Better Lovers,25,1.40,metalcore|mathcore|hardcore punk
TOKiMONSTA,25,0.00,ramp|beats|brainfeeder|electronic|hip hop|wonky
Sarah Longfield,25,0.00,progressive metal|instrumental|ambient|progressive|djent
Madeon,25,0.00,nu disco|electropop|french house|french touch|electro house|france|house|nu-disco|electronic
Psychedelic Porn Crumpets,25,0.10,psychedelic rock|heavy psych|grunge
Greyhaven,25,1.60,progressive metal|post-hardcore|mathcore|metalcore
Fabricant,25,1.80,technical death metal|death metal
Sleigh Bells,25,0.00,noise pop|lo-fi indie
ODESZA,25,0.00,electronic|electropop|progressive house|indietronica|chillwave|future bass
Jake Howsam Lowe,25,0.50,Unknown
The Dead Pirates,24,0.00,Unknown
Katalepsy,24,1.50,death metal|brutal death metal|slam death metal|slamming brutal death metal
Tigran Hamasyan,24,1.60,progressive rock|jazz|jazz fusion|post-bop|avant-garde jazz|contemporary jazz|chamber jazz|jazz piano|avant-prog|djent|central/west asian traditions|european folk|armenian folk|modern jazz piano
Asher Fulero,24,0.10,Unknown
NERO,24,0.00,dan stephens|joe ray|liquid funk|mta records|electro|beatport awards|dubstep|drum and bass|electronic
Phoenix,24,0.00,rock|alternative rock|french|france|francophone|français|indie rock|indie pop|pop rock|rock and indie|keep on jumping
Misanthropy,24,2.40,Unknown
Miles Davis,24,0.80,rock|classical|jazz|american|funk|fusion|trumpet|jazz rock|jazz fusion|post-bop|hard bop|modal jazz|bebop|jazz-funk|cool jazz|jazz-rock|musical|trumpeter|composers|jazz and blues|miles davis|george gershwin|acting|instrumental jazz|jazz musicians|third stream|composition|death by stroke|death by pneumonia|midnight|modal music|the best of|3356571013121|had feet|trumpeters
Buddy Guy,24,0.00,blues|blues rock|chicago blues|electric blues|harmonica blues|hill country blues|rhythm & blues|2008 universal fire victim
Bon Iver,24,0.10,electronic|folk|experimental|singer-songwriter|indie|alternative|indie folk|contemporary folk|folktronica|chamber folk|sophisti-pop|ambient pop|singer/songwriter|art pop
SebastiAn,24,0.00,classical|german|german composer|orchestral|composer|organist|baroque|latin|european|bach|mass|wagner|six|134a|motet|mathäuspassion|messe h-moll|vox|cantata|cantata 147|bach double violin concerto|helmut walcha|1036|bertalan hock|gramophone selection
Lamentari,24,2.00,symphonic black metal|death metal|black metal
Samm Henshaw,24,0.00,neo-soul
Erick Hansel,24,0.20,Unknown
Zack de la Rocha,24,0.10,rock|hip hop|political hip hop
Teramobil,24,1.80,Unknown
Lettuce,24,0.00,jazz|fusion|jazz funk|jazz fusion|funk|jam band
Swallow the Sun,24,3.50,metal|finnish|death metal|doom metal|death-doom metal|death doom metal|via mistica
Beyoncé,23,0.80,pop|rap|dance|house|american|vocalist|singer-songwriter|hip hop|hard rock|funk|country|bass|actress|soul|electropop|disco|rnb|pianist|americana|director|icon|2000s|dance-pop|adult contemporary|pop rock|pop rap|progressive house|club|dancer|hip hop rnb and dance hall|contemporary country|teen pop|pop soul|grammy winner|r&b|singer/songwriter|contemporary r&b|2010s|mbs-333|art pop|alternative r&b|moombahton|trap|contemporary pop|future bass|2020s|nuno|cultural icon|businesswoman|philanthropist
Afterbirth,23,1.30,technical death metal|slam death metal|progressive metal|brutal death metal|united states|death metal
Frost*,23,2.20,rock|jazz|folk|american|blues|singer-songwriter|country|folk rock|blues rock|country rock|classic rock|1980s|1990s|1970s|icon|1960s|2000s|pop rock|contemporary folk|gospel|roots rock|classic pop and rock|rare|traditional pop|siple twist of fate|1 13 165900 150 7672 22647 34612 48720 59280 74602 87545 95495 107182 131087 141522 153710|teater konsert|singer/songwriter|pop/rock|dylan bootleg series|pledging my time|favoritos|album;live|greenwich village scene
Tim Henson,23,0.60,rock|jazz|metal
Ronald Jenkees,23,0.00,Unknown
Sir Sly,23,0.00,Unknown
Mateus Asato,23,0.30,Unknown
FKJ,23,0.00,neo-soul
Black Violin,23,1.30,classical|hip-hop|classical crossover|instrumental hip hop
Luxas,23,0.00,Unknown
Hans Zimmer,23,0.50,soundtrack|classical|instrumental|german|orchestral|soundtrack composer|game|video game|score|composer|film score|contemporary classical|film|european|vgm|video game music|film soundtrack|film composer|soundtracks|modern classical|academy award winner|television music|cinematic classical
The Rolling Stones,23,1.10,rock|pop|blues|british|uk|reggae|hard rock|britannique|country|rnb|psychedelic rock|blues rock|classic rock|album rock|psychedelic pop|pop rock|british invasion|rock and roll|roots rock|english|live|greatest hits|classic pop and rock|merseybeat|the-rolling-stones|mainstream rock|mick jagger|rock & roll|dance-rock|rhythm & blues|essentials|british rhythm & blues|some girls|beat music|strictly stereo 1964 - 1969|reino unido
